movie_id,title,full_title,year,imdb_url,url_title
40,"To Wong Foo, Thanks for Everything! Julie Newmar","To Wong Foo, Thanks for Everything! Julie Newmar (1995)",1995,"http://us.imdb.com/M/title-exact?To%20Wong%20Foo,%20Thanks%20for%20Everything!%20Julie%20Newmar%20(1995)","To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
41,Billy Madison,Billy Madison (1995),1995,http://us.imdb.com/M/title-exact?Billy%20Madison%20(1995),Billy Madison (1995)
42,Clerks,Clerks (1994),1994,http://us.imdb.com/M/title-exact?Clerks%20(1994),Clerks (1994)
43,Disclosure,Disclosure (1994),1994,http://us.imdb.com/M/title-exact?Disclosure%20(1994),Disclosure (1994)
44,Dolores Claiborne,Dolores Claiborne (1994),1994,http://us.imdb.com/M/title-exact?Dolores%20Claiborne%20(1994),Dolores Claiborne (1994)
45,Eat Drink Man Woman,Eat Drink Man Woman (1994),1994,http://us.imdb.com/M/title-exact?Yinshi%20Nan%20Nu%20(1994),Yinshi Nan Nu (1994)
46,Exotica,Exotica (1994),1994,http://us.imdb.com/M/title-exact?Exotica%20(1994),Exotica (1994)
47,Ed Wood,Ed Wood (1994),1994,http://us.imdb.com/M/title-exact?Ed%20Wood%20(1994),Ed Wood (1994)
48,Hoop Dreams,Hoop Dreams (1994),1994,http://us.imdb.com/M/title-exact?Hoop%20Dreams%20(1994),Hoop Dreams (1994)
49,I.Q.,I.Q. (1994),1994,http://us.imdb.com/M/title-exact?I.Q.%20(1994),I.Q. (1994)
50,Star Wars,Star Wars (1977),1977,http://us.imdb.com/M/title-exact?Star%20Wars%20(1977),Star Wars (1977)
51,Legends of the Fall,Legends of the Fall (1994),1994,http://us.imdb.com/M/title-exact?Legends%20of%20the%20Fall%20(1994),Legends of the Fall (1994)
52,"Madness of King George, The","Madness of King George, The (1994)",1994,"http://us.imdb.com/M/title-exact?Madness%20of%20King%20George,%20The%20(1994)","Madness of King George, The (1994)"
53,Natural Born Killers,Natural Born Killers (1994),1994,http://us.imdb.com/M/title-exact?Natural%20Born%20Killers%20(1994),Natural Born Killers (1994)
54,Outbreak,Outbreak (1995),1995,http://us.imdb.com/M/title-exact?Outbreak%20(1995),Outbreak (1995)
55,"Professional, The","Professional, The (1994)",1994,http://us.imdb.com/Title?L%E9on+(1994),L%E9on (1994)
56,Pulp Fiction,Pulp Fiction (1994),1994,http://us.imdb.com/M/title-exact?Pulp%20Fiction%20(1994),Pulp Fiction (1994)
57,Priest,Priest (1994),1994,http://us.imdb.com/M/title-exact?Priest%20(1994),Priest (1994)
58,Quiz Show,Quiz Show (1994),1994,http://us.imdb.com/M/title-exact?Quiz%20Show%20(1994),Quiz Show (1994)
59,Three Colors: Red,Three Colors: Red (1994),1994,http://us.imdb.com/M/title-exact?Trzy%20kolory:%20Czerwony%20(1994),Trzy kolory: Czerwony (1994)
60,Three Colors: Blue,Three Colors: Blue (1993),1993,http://us.imdb.com/M/title-exact?Trzy%20kolory:%20Niebieski%20(1993),Trzy kolory: Niebieski (1993)
61,Three Colors: White,Three Colors: White (1994),1994,http://us.imdb.com/M/title-exact?Trzy%20kolory:%20Bialy%20(1994),Trzy kolory: Bialy (1994)
62,Stargate,Stargate (1994),1994,http://us.imdb.com/M/title-exact?Stargate%20(1994),Stargate (1994)
63,"Santa Clause, The","Santa Clause, The (1994)",1994,"http://us.imdb.com/M/title-exact?Santa%20Clause,%20The%20(1994)","Santa Clause, The (1994)"
64,"Shawshank Redemption, The","Shawshank Redemption, The (1994)",1994,"http://us.imdb.com/M/title-exact?Shawshank%20Redemption,%20The%20(1994)","Shawshank Redemption, The (1994)"
65,What's Eating Gilbert Grape,What's Eating Gilbert Grape (1993),1993,http://us.imdb.com/M/title-exact?What's%20Eating%20Gilbert%20Grape%20(1993),What's Eating Gilbert Grape (1993)
66,While You Were Sleeping,While You Were Sleeping (1995),1995,http://us.imdb.com/M/title-exact?While%20You%20Were%20Sleeping%20(1995),While You Were Sleeping (1995)
67,Ace Ventura: Pet Detective,Ace Ventura: Pet Detective (1994),1994,http://us.imdb.com/M/title-exact?Ace%20Ventura:%20Pet%20Detective%20(1994),Ace Ventura: Pet Detective (1994)
68,"Crow, The","Crow, The (1994)",1994,"http://us.imdb.com/M/title-exact?Crow,%20The%20(1994)","Crow, The (1994)"
69,Forrest Gump,Forrest Gump (1994),1994,http://us.imdb.com/M/title-exact?Forrest%20Gump%20(1994),Forrest Gump (1994)
70,Four Weddings and a Funeral,Four Weddings and a Funeral (1994),1994,http://us.imdb.com/M/title-exact?Four%20Weddings%20and%20a%20Funeral%20(1994),Four Weddings and a Funeral (1994)
71,"Lion King, The","Lion King, The (1994)",1994,"http://us.imdb.com/M/title-exact?Lion%20King,%20The%20(1994)","Lion King, The (1994)"
72,"Mask, The","Mask, The (1994)",1994,"http://us.imdb.com/M/title-exact?Mask,%20The%20(1994)","Mask, The (1994)"
73,Maverick,Maverick (1994),1994,http://us.imdb.com/M/title-exact?Maverick%20(1994),Maverick (1994)
74,Faster Pussycat! Kill! Kill!,Faster Pussycat! Kill! Kill! (1965),1965,http://us.imdb.com/M/title-exact?Faster%20Pussycat!%20Kill!%20Kill!%20(1965),Faster Pussycat! Kill! Kill! (1965)
75,Brother Minister: The Assassination of Malcolm X,Brother Minister: The Assassination of Malcolm X (1994),1994,http://us.imdb.com/M/title-exact?Brother%20Minister:%20The%20Assassination%20of%20Malcolm%20X%20(1994),Brother Minister: The Assassination of Malcolm X (1994)
76,Carlito's Way,Carlito's Way (1993),1993,http://us.imdb.com/M/title-exact?Carlito's%20Way%20(1993),Carlito's Way (1993)
77,"Firm, The","Firm, The (1993)",1993,"http://us.imdb.com/M/title-exact?Firm,%20The%20(1993)","Firm, The (1993)"
78,Free Willy,Free Willy (1993),1993,http://us.imdb.com/M/title-exact?Free%20Willy%20(1993),Free Willy (1993)
79,"Fugitive, The","Fugitive, The (1993)",1993,"http://us.imdb.com/M/title-exact?Fugitive,%20The%20(1993)","Fugitive, The (1993)"
80,Hot Shots! Part Deux,Hot Shots! Part Deux (1993),1993,http://us.imdb.com/M/title-exact?Hot%20Shots!%20Part%20Deux%20(1993),Hot Shots! Part Deux (1993)
81,"Hudsucker Proxy, The","Hudsucker Proxy, The (1994)",1994,"http://us.imdb.com/M/title-exact?Hudsucker%20Proxy,%20The%20(1994)","Hudsucker Proxy, The (1994)"
82,Jurassic Park,Jurassic Park (1993),1993,http://us.imdb.com/M/title-exact?Jurassic%20Park%20(1993),Jurassic Park (1993)
83,Much Ado About Nothing,Much Ado About Nothing (1993),1993,http://us.imdb.com/M/title-exact?Much%20Ado%20About%20Nothing%20(1993),Much Ado About Nothing (1993)
84,Robert A. Heinlein's The Puppet Masters,Robert A. Heinlein's The Puppet Masters (1994),1994,http://us.imdb.com/M/title-exact?Robert%20A.%20Heinlein's%20The%20Puppet%20Masters%20(1994),Robert A. Heinlein's The Puppet Masters (1994)
85,"Ref, The","Ref, The (1994)",1994,"http://us.imdb.com/M/title-exact?Ref,%20The%20(1994)","Ref, The (1994)"
86,"Remains of the Day, The","Remains of the Day, The (1993)",1993,"http://us.imdb.com/M/title-exact?Remains%20of%20the%20Day,%20The%20(1993)","Remains of the Day, The (1993)"
87,Searching for Bobby Fischer,Searching for Bobby Fischer (1993),1993,http://us.imdb.com/M/title-exact?Searching%20for%20Bobby%20Fischer%20(1993),Searching for Bobby Fischer (1993)
88,Sleepless in Seattle,Sleepless in Seattle (1993),1993,http://us.imdb.com/M/title-exact?Sleepless%20in%20Seattle%20(1993),Sleepless in Seattle (1993)
89,Blade Runner,Blade Runner (1982),1982,http://us.imdb.com/M/title-exact?Blade%20Runner%20(1982),Blade Runner (1982)
90,So I Married an Axe Murderer,So I Married an Axe Murderer (1993),1993,http://us.imdb.com/M/title-exact?So%20I%20Married%20an%20Axe%20Murderer%20(1993),So I Married an Axe Murderer (1993)
91,"Nightmare Before Christmas, The","Nightmare Before Christmas, The (1993)",1993,"http://us.imdb.com/M/title-exact?Nightmare%20Before%20Christmas,%20The%20(1993)","Nightmare Before Christmas, The (1993)"
92,True Romance,True Romance (1993),1993,http://us.imdb.com/M/title-exact?True%20Romance%20(1993),True Romance (1993)
93,Welcome to the Dollhouse,Welcome to the Dollhouse (1995),1995,http://us.imdb.com/Title?Welcome+to+the+Dollhouse+(1995),Welcome to the Dollhouse (1995)
94,Home Alone,Home Alone (1990),1990,http://us.imdb.com/M/title-exact?Home%20Alone%20(1990),Home Alone (1990)
95,Aladdin,Aladdin (1992),1992,http://us.imdb.com/M/title-exact?Aladdin%20(1992),Aladdin (1992)
96,Terminator 2: Judgment Day,Terminator 2: Judgment Day (1991),1991,http://us.imdb.com/M/title-exact?Terminator%202:%20Judgment%20Day%20(1991),Terminator 2: Judgment Day (1991)
97,Dances with Wolves,Dances with Wolves (1990),1990,http://us.imdb.com/M/title-exact?Dances%20with%20Wolves%20(1990),Dances with Wolves (1990)
98,"Silence of the Lambs, The","Silence of the Lambs, The (1991)",1991,"http://us.imdb.com/M/title-exact?Silence%20of%20the%20Lambs,%20The%20(1991)","Silence of the Lambs, The (1991)"
99,Snow White and the Seven Dwarfs,Snow White and the Seven Dwarfs (1937),1937,http://us.imdb.com/M/title-exact?Snow%20White%20and%20the%20Seven%20Dwarfs%20(1937),Snow White and the Seven Dwarfs (1937)
100,Fargo,Fargo (1996),1996,http://us.imdb.com/M/title-exact?Fargo%20(1996),Fargo (1996)
101,Heavy Metal,Heavy Metal (1981),1981,http://us.imdb.com/M/title-exact?Heavy%20Metal%20(1981),Heavy Metal (1981)
102,"Aristocats, The","Aristocats, The (1970)",1970,"http://us.imdb.com/M/title-exact?Aristocats,%20The%20(1970)","Aristocats, The (1970)"
103,All Dogs Go to Heaven 2,All Dogs Go to Heaven 2 (1996),1996,http://us.imdb.com/M/title-exact?All%20Dogs%20Go%20to%20Heaven%202%20(1996),All Dogs Go to Heaven 2 (1996)
104,Theodore Rex,Theodore Rex (1995),1995,http://us.imdb.com/M/title-exact?Theodore%20Rex%20(1995),Theodore Rex (1995)
105,Sgt. Bilko,Sgt. Bilko (1996),1996,http://us.imdb.com/M/title-exact?Sgt.%20Bilko%20(1996),Sgt. Bilko (1996)
106,Diabolique,Diabolique (1996),1996,http://us.imdb.com/M/title-exact?Diabolique%20(1996),Diabolique (1996)
107,Moll Flanders,Moll Flanders (1996),1996,http://us.imdb.com/M/title-exact?Moll%20Flanders%20(1996),Moll Flanders (1996)
108,Kids in the Hall: Brain Candy,Kids in the Hall: Brain Candy (1996),1996,http://us.imdb.com/M/title-exact?Kids%20in%20the%20Hall:%20Brain%20Candy%20(1996),Kids in the Hall: Brain Candy (1996)
109,Mystery Science Theater 3000: The Movie,Mystery Science Theater 3000: The Movie (1996),1996,http://us.imdb.com/M/title-exact?Mystery%20Science%20Theater%203000:%20The%20Movie%20(1996),Mystery Science Theater 3000: The Movie (1996)
110,Operation Dumbo Drop,Operation Dumbo Drop (1995),1995,http://us.imdb.com/M/title-exact?Operation%20Dumbo%20Drop%20(1995),Operation Dumbo Drop (1995)
111,"Truth About Cats & Dogs, The","Truth About Cats & Dogs, The (1996)",1996,"http://us.imdb.com/M/title-exact?Truth%20About%20Cats%20&%20Dogs,%20The%20(1996)","Truth About Cats & Dogs, The (1996)"
112,Flipper,Flipper (1996),1996,http://us.imdb.com/M/title-exact?Flipper%20(1996),Flipper (1996)
113,"Horseman on the Roof, The (Hussard sur le toit, Le)","Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",1995,"http://us.imdb.com/M/title-exact?Hussard%20sur%20le%20toit,%20Le%20(1995)","Hussard sur le toit, Le (1995)"
114,Wallace & Gromit: The Best of Aardman Animation,Wallace & Gromit: The Best of Aardman Animation (1996),1996,http://us.imdb.com/Title?Wallace+%26+Gromit%3A+The+Best+of+Aardman+Animation+(1996),Wallace %26 Gromit%3A The Best of Aardman Animation (1996)
115,"Haunted World of Edward D. Wood Jr., The","Haunted World of Edward D. Wood Jr., The (1995)",1995,"http://us.imdb.com/Title?Haunted+World+of+Edward+D.+Wood+Jr.,+The+(1995)","Haunted World of Edward D. Wood Jr., The (1995)"
116,Cold Comfort Farm,Cold Comfort Farm (1995),1995,http://us.imdb.com/M/title-exact?Cold%20Comfort%20Farm%20(1995)%20(TV),Cold Comfort Farm (1995) (TV)
117,"Rock, The","Rock, The (1996)",1996,"http://us.imdb.com/M/title-exact?Rock,%20The%20(1996)","Rock, The (1996)"
118,Twister,Twister (1996),1996,http://us.imdb.com/M/title-exact?Twister%20(1996),Twister (1996)
119,Maya Lin: A Strong Clear Vision,Maya Lin: A Strong Clear Vision (1994),1994,http://us.imdb.com/M/title-exact?Maya%20Lin:%20A%20Strong%20Clear%20Vision%20(1994),Maya Lin: A Strong Clear Vision (1994)
120,Striptease,Striptease (1996),1996,http://us.imdb.com/M/title-exact?Striptease%20(1996),Striptease (1996)
121,Independence Day (ID4),Independence Day (ID4) (1996),1996,http://us.imdb.com/M/title-exact?Independence%20Day%20(1996),Independence Day (1996)
122,"Cable Guy, The","Cable Guy, The (1996)",1996,"http://us.imdb.com/M/title-exact?Cable%20Guy,%20The%20(1996)","Cable Guy, The (1996)"
123,"Frighteners, The","Frighteners, The (1996)",1996,"http://us.imdb.com/M/title-exact?Frighteners,%20The%20(1996)","Frighteners, The (1996)"
124,Lone Star,Lone Star (1996),1996,http://us.imdb.com/M/title-exact?Lone%20Star%20(1996),Lone Star (1996)
125,Phenomenon,Phenomenon (1996),1996,http://us.imdb.com/M/title-exact?Phenomenon%20(1996),Phenomenon (1996)
126,"Spitfire Grill, The","Spitfire Grill, The (1996)",1996,"http://us.imdb.com/M/title-exact?Spitfire%20Grill,%20The%20(1996)","Spitfire Grill, The (1996)"
127,"Godfather, The","Godfather, The (1972)",1972,"http://us.imdb.com/M/title-exact?Godfather,%20The%20(1972)","Godfather, The (1972)"
128,Supercop,Supercop (1992),1992,http://us.imdb.com/M/title-exact?Police%20Story%20III:%20Supercop%20(1992),Police Story III: Supercop (1992)
129,Bound,Bound (1996),1996,http://us.imdb.com/M/title-exact?Bound%20(1996),Bound (1996)
130,Kansas City,Kansas City (1996),1996,http://us.imdb.com/M/title-exact?Kansas%20City%20(1996),Kansas City (1996)
131,Breakfast at Tiffany's,Breakfast at Tiffany's (1961),1961,http://us.imdb.com/M/title-exact?Breakfast%20at%20Tiffany's%20(1961),Breakfast at Tiffany's (1961)
132,"Wizard of Oz, The","Wizard of Oz, The (1939)",1939,"http://us.imdb.com/M/title-exact?Wizard%20of%20Oz,%20The%20(1939)","Wizard of Oz, The (1939)"
133,Gone with the Wind,Gone with the Wind (1939),1939,http://us.imdb.com/M/title-exact?Gone%20with%20the%20Wind%20(1939),Gone with the Wind (1939)
134,Citizen Kane,Citizen Kane (1941),1941,http://us.imdb.com/M/title-exact?Citizen%20Kane%20(1941),Citizen Kane (1941)
135,2001: A Space Odyssey,2001: A Space Odyssey (1968),1968,http://us.imdb.com/M/title-exact?2001:%20A%20Space%20Odyssey%20(1968),2001: A Space Odyssey (1968)
136,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington (1939),1939,http://us.imdb.com/M/title-exact?Mr.%20Smith%20Goes%20to%20Washington%20(1939),Mr. Smith Goes to Washington (1939)
137,Big Night,Big Night (1996),1996,http://us.imdb.com/M/title-exact?Big%20Night%20(1996),Big Night (1996)
138,D3: The Mighty Ducks,D3: The Mighty Ducks (1996),1996,http://us.imdb.com/M/title-exact?D3:%20The%20Mighty%20Ducks%20(1996),D3: The Mighty Ducks (1996)
139,"Love Bug, The","Love Bug, The (1969)",1969,"http://us.imdb.com/M/title-exact?Love%20Bug,%20The%20(1969)","Love Bug, The (1969)"
140,Homeward Bound: The Incredible Journey,Homeward Bound: The Incredible Journey (1993),1993,http://us.imdb.com/M/title-exact?Homeward%20Bound:%20The%20Incredible%20Journey%20(1993),Homeward Bound: The Incredible Journey (1993)
141,"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea (1954)",1954,"http://us.imdb.com/M/title-exact?20,000%20Leagues%20Under%20the%20Sea%20(1954)","20,000 Leagues Under the Sea (1954)"
142,Bedknobs and Broomsticks,Bedknobs and Broomsticks (1971),1971,http://us.imdb.com/M/title-exact?Bedknobs%20and%20Broomsticks%20(1971),Bedknobs and Broomsticks (1971)
143,"Sound of Music, The","Sound of Music, The (1965)",1965,"http://us.imdb.com/M/title-exact?Sound%20of%20Music,%20The%20(1965)","Sound of Music, The (1965)"
144,Die Hard,Die Hard (1988),1988,http://us.imdb.com/M/title-exact?Die%20Hard%20(1988),Die Hard (1988)
145,"Lawnmower Man, The","Lawnmower Man, The (1992)",1992,"http://us.imdb.com/M/title-exact?Lawnmower%20Man,%20The%20(1992)","Lawnmower Man, The (1992)"
146,Unhook the Stars,Unhook the Stars (1996),1996,http://us.imdb.com/M/title-exact?Unhook%20the%20Stars%20(1996),Unhook the Stars (1996)
147,"Long Kiss Goodnight, The","Long Kiss Goodnight, The (1996)",1996,"http://us.imdb.com/M/title-exact?Long%20Kiss%20Goodnight,%20The%20(1996)","Long Kiss Goodnight, The (1996)"
148,"Ghost and the Darkness, The","Ghost and the Darkness, The (1996)",1996,"http://us.imdb.com/M/title-exact?Ghost%20and%20the%20Darkness,%20The%20(1996)","Ghost and the Darkness, The (1996)"
149,Jude,Jude (1996),1996,http://us.imdb.com/M/title-exact?Jude%20(1996),Jude (1996)
150,Swingers,Swingers (1996),1996,http://us.imdb.com/M/title-exact?Swingers%20(1996),Swingers (1996)
151,Willy Wonka and the Chocolate Factory,Willy Wonka and the Chocolate Factory (1971),1971,http://us.imdb.com/M/title-exact?Willy%20Wonka%20and%20the%20Chocolate%20Factory%20(1971),Willy Wonka and the Chocolate Factory (1971)
152,Sleeper,Sleeper (1973),1973,http://us.imdb.com/M/title-exact?Sleeper%20(1973),Sleeper (1973)
153,"Fish Called Wanda, A","Fish Called Wanda, A (1988)",1988,"http://us.imdb.com/M/title-exact?Fish%20Called%20Wanda,%20A%20(1988)","Fish Called Wanda, A (1988)"
154,Monty Python's Life of Brian,Monty Python's Life of Brian (1979),1979,http://us.imdb.com/M/title-exact?Life%20of%20Brian%20(1979),Life of Brian (1979)
155,Dirty Dancing,Dirty Dancing (1987),1987,http://us.imdb.com/M/title-exact?Dirty%20Dancing%20(1987),Dirty Dancing (1987)
156,Reservoir Dogs,Reservoir Dogs (1992),1992,http://us.imdb.com/M/title-exact?Reservoir%20Dogs%20(1992),Reservoir Dogs (1992)
157,Platoon,Platoon (1986),1986,http://us.imdb.com/M/title-exact?Platoon%20(1986),Platoon (1986)
158,Weekend at Bernie's,Weekend at Bernie's (1989),1989,http://us.imdb.com/M/title-exact?Weekend%20at%20Bernie's%20(1989),Weekend at Bernie's (1989)
159,Basic Instinct,Basic Instinct (1992),1992,http://us.imdb.com/M/title-exact?Basic%20Instinct%20(1992),Basic Instinct (1992)
160,Glengarry Glen Ross,Glengarry Glen Ross (1992),1992,http://us.imdb.com/M/title-exact?Glengarry%20Glen%20Ross%20(1992),Glengarry Glen Ross (1992)
161,Top Gun,Top Gun (1986),1986,http://us.imdb.com/M/title-exact?Top%20Gun%20(1986),Top Gun (1986)
162,On Golden Pond,On Golden Pond (1981),1981,http://us.imdb.com/M/title-exact?On%20Golden%20Pond%20(1981),On Golden Pond (1981)
163,"Return of the Pink Panther, The","Return of the Pink Panther, The (1974)",1974,"http://us.imdb.com/M/title-exact?Return%20of%20the%20Pink%20Panther,%20The%20(1974)","Return of the Pink Panther, The (1974)"
164,"Abyss, The","Abyss, The (1989)",1989,"http://us.imdb.com/M/title-exact?Abyss,%20The%20(1989)","Abyss, The (1989)"
165,Jean de Florette,Jean de Florette (1986),1986,http://us.imdb.com/M/title-exact?Jean%20de%20Florette%20(1986),Jean de Florette (1986)
166,Manon of the Spring (Manon des sources),Manon of the Spring (Manon des sources) (1986),1986,http://us.imdb.com/M/title-exact?Manon%20des%20sources%20(1986),Manon des sources (1986)
167,Private Benjamin,Private Benjamin (1980),1980,http://us.imdb.com/M/title-exact?Private%20Benjamin%20(1980),Private Benjamin (1980)
168,Monty Python and the Holy Grail,Monty Python and the Holy Grail (1974),1974,http://us.imdb.com/M/title-exact?Monty%20Python%20and%20the%20Holy%20Grail%20(1974),Monty Python and the Holy Grail (1974)
169,"Wrong Trousers, The","Wrong Trousers, The (1993)",1993,"http://us.imdb.com/M/title-exact?Wrong%20Trousers,%20The%20(1993)","Wrong Trousers, The (1993)"
170,Cinema Paradiso,Cinema Paradiso (1988),1988,http://us.imdb.com/M/title-exact?Nuovo%20cinema%20Paradiso%20(1988),Nuovo cinema Paradiso (1988)
171,Delicatessen,Delicatessen (1991),1991,http://us.imdb.com/M/title-exact?Delicatessen%20(1991),Delicatessen (1991)
172,"Empire Strikes Back, The","Empire Strikes Back, The (1980)",1980,"http://us.imdb.com/M/title-exact?Empire%20Strikes%20Back,%20The%20(1980)","Empire Strikes Back, The (1980)"
173,"Princess Bride, The","Princess Bride, The (1987)",1987,"http://us.imdb.com/M/title-exact?Princess%20Bride,%20The%20(1987)","Princess Bride, The (1987)"
174,Raiders of the Lost Ark,Raiders of the Lost Ark (1981),1981,http://us.imdb.com/M/title-exact?Raiders%20of%20the%20Lost%20Ark%20(1981),Raiders of the Lost Ark (1981)
175,Brazil,Brazil (1985),1985,http://us.imdb.com/M/title-exact?Brazil%20(1985),Brazil (1985)
176,Aliens,Aliens (1986),1986,http://us.imdb.com/M/title-exact?Aliens%20(1986),Aliens (1986)
177,"Good, The Bad and The Ugly, The","Good, The Bad and The Ugly, The (1966)",1966,"http://us.imdb.com/M/title-exact?Buono,%20il%20brutto,%20il%20cattivo,%20Il%20(1966)","Buono, il brutto, il cattivo, Il (1966)"
178,12 Angry Men,12 Angry Men (1957),1957,http://us.imdb.com/M/title-exact?12%20Angry%20Men%20(1957),12 Angry Men (1957)
179,"Clockwork Orange, A","Clockwork Orange, A (1971)",1971,"http://us.imdb.com/M/title-exact?Clockwork%20Orange,%20A%20(1971)","Clockwork Orange, A (1971)"
180,Apocalypse Now,Apocalypse Now (1979),1979,http://us.imdb.com/M/title-exact?Apocalypse%20Now%20(1979),Apocalypse Now (1979)
